company_id,surface,lemma,pos
ntt-holding,謹ん,謹む,NOUN
ntt-holding,"

","

",PROPN
ntt-holding,光電,光電,NOUN
ntt-holding,融合,融合,NOUN
ntt-holding,元年,元年,NOUN
ntt-holding,AI,AI,NOUN
ntt-holding,時代,時代,NOUN
ntt-holding,大量,大量,ADJ
ntt-holding,消費,消費,VERB
ntt-holding,電力,電力,NOUN
ntt-holding,削減,削減,VERB
ntt-holding,大きな,大きな,ADJ
ntt-holding,チャレンジ,チャレンジ,NOUN
ntt-holding,本格的,本格的,ADJ
ntt-holding,スタート,スタート,VERB
ntt-holding,大阪,大阪,PROPN
ntt-holding,関西,関西,PROPN
ntt-holding,万博,万博,NOUN
ntt-holding,お披露目,お披露目,PROPN
ntt-holding,IOWN,IOWN,NOUN
ntt-holding,光電,光電,NOUN
ntt-holding,融合,融合,NOUN
ntt-holding,デバイス,デバイス,NOUN
ntt-holding,性能,性能,NOUN
ntt-holding,倍増,倍増,VERB
ntt-holding,ご利用,ご利用,NOUN
ntt-holding,最終,最終,NOUN
ntt-holding,準備,準備,NOUN
ntt-holding,段階,段階,NOUN
ntt-holding,迎え,迎える,VERB
ntt-holding,多く,多く,NOUN
ntt-holding,商談,商談,NOUN
ntt-holding,進ん,進む,VERB
ntt-holding,国内外,国内外,NOUN
ntt-holding,パートナー,パートナー,NOUN
ntt-holding,連携,連携,NOUN
ntt-holding,通じ,通ずる,VERB
ntt-holding,IOWN,IOWN,NOUN
ntt-holding,ロードマップ,ロードマップ,NOUN
ntt-holding,着実,着実,ADJ
ntt-holding,遂行,遂行,VERB
ntt-holding,"

","

",NOUN
ntt-holding,AI,AI,NOUN
ntt-holding,ビジネス,ビジネス,NOUN
ntt-holding,大きく,大きい,ADJ
ntt-holding,飛躍,飛躍,VERB
ntt-holding,NTT,NTT,PROPN
ntt-holding,全体,全体,NOUN
ntt-holding,売上,売上,NOUN
ntt-holding,上回る,上回る,VERB
ntt-holding,規模,規模,NOUN
ntt-holding,tsuzumi,tsuzumi,NOUN
ntt-holding,はじめ,はじめ,NOUN
ntt-holding,多様,多様,ADJ
